noise,seed,model,accuracy
0.0,0,rawimg,0.6938775510204082
0.0,0,depth,0.6938775510204082
0.0,0,deformation,0.6326530612244898
0.0,0,shear,0.46938775510204084
0.0,0,early_fusion,0.8367346938775511
0.0,0,late_fusion,0.7346938775510204
0.0,0,hybrid_fusion,0.8367346938775511
0.1,0,rawimg,0.5306122448979592
0.1,0,depth,0.16326530612244897
0.1,0,deformation,0.6326530612244898
0.1,0,shear,0.46938775510204084
0.1,0,early_fusion,0.8367346938775511
0.1,0,late_fusion,0.7959183673469388
0.1,0,hybrid_fusion,0.8367346938775511
0.1,1,rawimg,0.5510204081632653
0.1,1,depth,0.16326530612244897
0.1,1,deformation,0.6326530612244898
0.1,1,shear,0.4489795918367347
0.1,1,early_fusion,0.8367346938775511
0.1,1,late_fusion,0.8163265306122449
0.1,1,hybrid_fusion,0.8571428571428571
0.1,2,rawimg,0.4897959183673469
0.1,2,depth,0.16326530612244897
0.1,2,deformation,0.6326530612244898
0.1,2,shear,0.4489795918367347
0.1,2,early_fusion,0.8571428571428571
0.1,2,late_fusion,0.7346938775510204
0.1,2,hybrid_fusion,0.8163265306122449
0.1,3,rawimg,0.5306122448979592
0.1,3,depth,0.16326530612244897
0.1,3,deformation,0.6326530612244898
0.1,3,shear,0.46938775510204084
0.1,3,early_fusion,0.8367346938775511
0.1,3,late_fusion,0.8163265306122449
0.1,3,hybrid_fusion,0.8571428571428571
0.1,4,rawimg,0.5510204081632653
0.1,4,depth,0.16326530612244897
0.1,4,deformation,0.6326530612244898
0.1,4,shear,0.46938775510204084
0.1,4,early_fusion,0.8367346938775511
0.1,4,late_fusion,0.7755102040816326
0.1,4,hybrid_fusion,0.8571428571428571
0.2,0,rawimg,0.32653061224489793
0.2,0,depth,0.16326530612244897
0.2,0,deformation,0.6326530612244898
0.2,0,shear,0.4489795918367347
0.2,0,early_fusion,0.8571428571428571
0.2,0,late_fusion,0.7551020408163265
0.2,0,hybrid_fusion,0.7142857142857143
0.2,1,rawimg,0.32653061224489793
0.2,1,depth,0.16326530612244897
0.2,1,deformation,0.6326530612244898
0.2,1,shear,0.4489795918367347
0.2,1,early_fusion,0.8571428571428571
0.2,1,late_fusion,0.7346938775510204
0.2,1,hybrid_fusion,0.7346938775510204
0.2,2,rawimg,0.32653061224489793
0.2,2,depth,0.16326530612244897
0.2,2,deformation,0.6326530612244898
0.2,2,shear,0.4489795918367347
0.2,2,early_fusion,0.8571428571428571
0.2,2,late_fusion,0.7551020408163265
0.2,2,hybrid_fusion,0.673469387755102
0.2,3,rawimg,0.32653061224489793
0.2,3,depth,0.16326530612244897
0.2,3,deformation,0.6326530612244898
0.2,3,shear,0.4489795918367347
0.2,3,early_fusion,0.8571428571428571
0.2,3,late_fusion,0.7142857142857143
0.2,3,hybrid_fusion,0.7346938775510204
0.2,4,rawimg,0.32653061224489793
0.2,4,depth,0.16326530612244897
0.2,4,deformation,0.6326530612244898
0.2,4,shear,0.4489795918367347
0.2,4,early_fusion,0.8571428571428571
0.2,4,late_fusion,0.7551020408163265
0.2,4,hybrid_fusion,0.7142857142857143
0.3,0,rawimg,0.20408163265306123
